Title,Description,Price,Color,Image_url
Beige Dabu Print Cotton Flared Shorts,"Beige Dabu Print Cotton Flared Shorts, 9 reviews , Price : rs. 3,390",3390,Beige Dabu,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-131156_600x.jpg?v=1625847290
Brick Red Block Print Floral Hot Pants,"Brick Red Block Print Floral Hot Pants, No reviews , Price : rs. 2,760",2760,Brick Red,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-mid-rise-hot-pants-hot-pants-shorts-731406_600x.jpg?v=1626171553
Black Elasticated Short Cotton Boxers,"Black Elasticated Short Cotton Boxers, 3 reviews , Price : rs. 2,140",2140,Black Elasticated,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/black-elasticated-short-boxers-short-shorts-815542_600x.jpg?v=1625848026
Purple Flannel Convertible Pant Shorts,"Purple Flannel Convertible Pant Shorts, 3 reviews , Price : rs. 4,630",4630,Purple Flannel,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/WSRT48AShot2_600x.jpg?v=1642053487
White Hand Beaded Short Cotton Shorts,"White Hand Beaded Short Cotton Shorts, 3 reviews , Price : rs. 3,020",3020,White Hand,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/white-hand-beaded-short-shorts-short-shorts-249070_600x.jpg?v=1625990991
Mauve Cotton Corduroy Baggy Shorts,"Mauve Cotton Corduroy Baggy Shorts, 3 reviews , Price : rs. 3,200",3200,Mauve Cotton,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-831988_600x.jpg?v=1625990578
Violet Striped Mangalgiri Cotton Shorts,"Violet Striped Mangalgiri Cotton Shorts, No reviews , Price : rs. 3,440",3440,Violet Striped,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/violet-mangalgiri-cotton-short-shorts-short-shorts-544081_600x.jpg?v=1625991042
Khaki Vegetable Dyed Handspun Short Shorts,"Khaki Vegetable Dyed Handspun Short Shorts, No reviews , Price : rs. 4,670",4670,Khaki Vegetable,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/khakhi-vegetable-dyed-handspun-short-shorts-short-shorts-974820_600x.jpg?v=1626083172
Cotton Grey Striped Paperbag Shorts,"Cotton Grey Striped Paperbag Shorts, 3 reviews , Price : rs. 3,550",3550,Cotton Grey,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-grey-striped-paperbag-shorts-paperbag-shorts-183865_600x.jpg?v=1625849646
Melon Orange Handspun Mirror Work Shorts,"Melon Orange Handspun Mirror Work Shorts, No reviews , Price : rs. 2,610",2610,Melon Orange,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/melon-orange-handspun-mirror-work-shorts-straight-shorts-593333_600x.jpg?v=1626279953
Vegetable Dyed Off-White Paneled Shorts,"Vegetable Dyed Off-White Paneled Shorts, No reviews , Price : rs. 3,940",3940,Vegetable Dyed,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/vegetable-dyed-off-white-paneled-shorts-paneled-shorts-297253_600x.jpg?v=1626283687
Indigo Cotton Denim Paneled Shorts,"Indigo Cotton Denim Paneled Shorts, 1 review , Price : rs. 3,400",3400,Indigo Cotton,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-618394_600x.jpg?v=1611240888
Floral Block Print Comfort Fit Shorts,"Floral Block Print Comfort Fit Shorts, 3 reviews , Price : rs. 2,670",2670,Floral Block,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/floral-bagru-printed-short-shorts-short-shorts-835454_600x.jpg?v=1625850454
Handspun Brown Flared Shorts,"Handspun Brown Flared Shorts, 3 reviews , Price : rs. 3,720",3720,Handspun Brown,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/handspun-brown-flared-shorts-flared-shorts-875565_600x.jpg?v=1626080841
Yellow Vegetable Dyed Handspun Short Shorts,"Yellow Vegetable Dyed Handspun Short Shorts, No reviews , Price : rs. 4,660",4660,Yellow Vegetable,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/yellow-vegetable-dyed-handspun-short-shorts-short-shorts-547087_600x.jpg?v=1626371454
Teal Solid Cotton Short Shorts,"Teal Solid Cotton Short Shorts, 10 reviews , Price : rs. 2,460",2460,Teal Solid,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3324_600x.jpg?v=1640845263
Kashish Dabu Print High-Rise Comfort Fit Shorts,"Kashish Dabu Print High-Rise Comfort Fit Shorts, No reviews , Price : rs. 2,800",2800,Kashish Dabu,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/kashish-dabu-print-high-rise-comfort-fit-shorts-short-shorts-949083_600x.jpg?v=1626279264
Powder Blue Checkered Handspun Shorts,"Powder Blue Checkered Handspun Shorts, No reviews , Price : rs. 4,840",4840,Powder Blue,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-checkered-handspun-shorts-straight-shorts-240981_600x.jpg?v=1625992472
Blue Vegetable Dyed Straight Fit Shorts,"Blue Vegetable Dyed Straight Fit Shorts, 1 review , Price : rs. 4,020",4020,Blue Vegetable,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-990368_600x.jpg?v=1625850728
Block Printed Striped Boxer Shorts,"Block Printed Striped Boxer Shorts, No reviews , Price : rs. 3,690",3690,Block Printed,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/elastic-waist-striped-short-shorts-short-short-516623_600x.jpg?v=1626188018
Bottle Green Handspun Cotton Short Shorts,"Bottle Green Handspun Cotton Short Shorts, No reviews , Price : rs. 4,330",4330,Bottle Green,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/6L3A1638copy_600x.jpg?v=1638421904
Cotton Beige Striped Paperbag Shorts,"Cotton Beige Striped Paperbag Shorts, No reviews , Price : rs. 3,550",3550,Cotton Beige,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/cotton-beige-striped-paperbag-shorts-paperbag-shorts-553172_600x.jpg?v=1625992611
Dusk Beige Cotton Corduroy Baggy Shorts,"Dusk Beige Cotton Corduroy Baggy Shorts, No reviews , Price : rs. 3,200",3200,Dusk Beige,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-687982_600x.jpg?v=1625992953
Bagru Block Print Mustard Straight Shorts,"Bagru Block Print Mustard Straight Shorts, No reviews , Price : rs. 3,540",3540,Bagru Block,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mustard-paisley-straight-short-shorts-short-shorts-439136_600x.jpg?v=1625993460
